No,Day,Month,Year,Qobs_0000000001,Qsim_0000000001,Qobs_0000000002,Qsim_0000000002,Qobs_0000000003,Qsim_0000000003,Qobs_0000000004,Qsim_0000000004
1,1,1,2016,0.279,0.093593,0.329,0.0683507,0.095,0.0308115,1.71,0.6676538
2,2,1,2016,0.536,0.3979394,0.491,0.2584551,0.309,0.1066096,2.794,2.2933594
3,3,1,2016,0.454,0.2436605,0.47,0.1424111,0.479,0.1228005,7.076,2.8365752
4,4,1,2016,0.799,0.272273,0.796,0.1663709,1.12,0.1833645,14.972,3.7924166
5,5,1,2016,0.569,0.1776434,0.617,0.1071146,1.383,0.2626607,16.949,5.1576583
6,6,1,2016,0.427,0.1259639,0.463,0.0816187,1.059,0.2444833,11.711,4.84251
7,7,1,2016,0.915,0.490516,0.648,0.3069564,1.093,0.3101644,13.186,5.9842951
8,8,1,2016,1.397,0.8744285,0.982,0.482606,1.238,0.4104026,17.787,8.3231329
9,9,1,2016,5.258,1.2396159,3.721,0.751916,3.147,0.9422875,57.694,17.3561594
10,10,1,2016,2.776,1.5221366,2.13,0.8941462,3.017,2.0853993,49.005,37.0817855
11,11,1,2016,5.853,1.9705202,3.903,1.1134559,3.224,2.1875858,75.028,41.294417
12,12,1,2016,2.651,1.983792,2.083,1.0788323,2.493,1.6601313,38.171,31.9900864
13,13,1,2016,1.939,1.5504172,1.624,0.855618,1.566,1.0209119,26.02,21.8795949
14,14,1,2016,1.398,1.168353,1.155,0.6710817,1.12,0.5824779,16.055,12.563804
15,15,1,2016,1.119,0.9608122,0.924,0.5531122,0.864,0.3830685,11.576,8.4260904
16,16,1,2016,0.965,0.7811741,0.804,0.448961,0.642,0.2734939,9.509,6.1967945
17,17,1,2016,0.854,0.6464296,0.718,0.3737293,0.516,0.2079808,8.141,4.7946566
18,18,1,2016,0.785,0.5423134,0.647,0.3156303,0.424,0.1662728,7.186,3.852617
19,19,1,2016,0.735,0.4606422,0.641,0.2701621,0.372,0.1383716,6.715,3.191394
20,20,1,2016,0.713,0.4714212,0.637,0.2680706,0.332,0.1194124,6.221,2.7692586
21,21,1,2016,0.663,0.3892313,0.609,0.2171992,0.302,0.1054559,5.834,2.4093997
22,22,1,2016,0.626,0.3366264,0.579,0.19128,0.266,0.0948624,5.355,2.1263562
23,23,1,2016,0.653,0.5119808,0.59,0.3350685,0.27,0.236363,5.224,4.8190778
24,24,1,2016,0.707,0.4052454,0.624,0.2807264,0.263,0.2362559,5.456,5.638104
25,25,1,2016,0.69,0.3508247,0.639,0.2431597,0.261,0.1836137,5.401,4.9056296
26,26,1,2016,0.659,0.3073773,0.632,0.2127746,0.265,0.1494305,5.632,3.855674
27,27,1,2016,0.641,0.272422,0.616,0.1884355,0.312,0.1262131,6.201,2.9293706
28,28,1,2016,0.608,0.2440809,0.61,0.1688011,0.472,0.1098113,7.034,2.43247
29,29,1,2016,0.571,0.22135,0.603,0.152946,0.712,0.1082506,8.775,2.3306192
30,30,1,2016,0.566,0.2076641,0.595,0.1411312,0.515,0.1070732,9.399,2.3965924
31,31,1,2016,1.21,0.7545102,0.848,0.3845768,0.889,0.3396512,15.695,6.0243553
32,1,2,2016,1.266,0.7329568,0.762,0.330324,0.961,0.4308833,17.433,8.5037237
33,2,2,2016,0.986,0.5650899,0.665,0.2725032,0.668,0.2986558,11.291,5.7420103
34,3,2,2016,1.063,0.7367653,0.781,0.4264394,0.602,0.3524706,10.651,6.7457116
35,4,2,2016,0.935,0.7547413,0.736,0.4170743,0.568,0.3775026,10.801,7.9240059
